[GIN] 2018/04/10 - 09:57:10 | 200 |     201.252µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:58:09 | 200 |     216.534µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 10:00:30 | 200 |     164.888µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 10:00:39 | 200 |    1.008622ms |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 10:01:10 | 200 |     184.789µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:05:38 | 200 |      380.38µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:05:42 | 200 |     163.319µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:05:45 | 200 |     252.626µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:05:51 | 200 |     435.856µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:07:28 | 200 |     496.127µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:08:18 | 200 |     347.848µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:09:19 | 200 |     454.059µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:09:53 | 200 |     462.215µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 11:12:31 | 200 |     361.725µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/13 - 11:39:21 | 200 |     554.244µs |             ::1 | GET      /api/index
[GIN] 2018/04/13 - 11:39:21 | 200 |     243.541µs |             ::1 | GET      /api/index
[GIN] 2018/04/13 - 11:48:04 | 200 |  184.648617ms |             ::1 | GET      /api/index
[GIN] 2018/04/13 - 11:48:58 | 502 |    3.816993ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    5.758137ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    7.410164ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    9.295104ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   11.256224ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    12.59486ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   14.059825ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   15.981009ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   17.775595ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   19.349978ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   20.963467ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   22.331142ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   24.114102ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   25.593133ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   27.178389ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    28.55756ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    29.82151ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   31.110735ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   32.412605ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   34.029582ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   36.011769ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   42.364171ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   43.476613ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   44.930506ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   46.254005ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   47.194859ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   48.301363ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   49.220385ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   50.057946ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   51.144787ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   52.625077ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   53.908196ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   54.970918ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   55.855084ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   56.792583ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   57.647006ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   58.747271ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   59.676972ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   60.625062ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   61.692651ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   62.853868ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   64.025077ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   64.992626ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   65.783586ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   66.668426ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    67.70081ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   68.564677ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   69.463079ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   70.586044ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   71.533954ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   72.865546ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   73.852981ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   74.738631ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   75.567309ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   76.362549ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   77.252552ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   78.410774ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   79.275299ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   80.145132ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   81.026093ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   82.209426ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   83.073879ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   83.873453ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   84.660967ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   85.458446ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   86.335861ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   87.175512ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   88.180311ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   88.960231ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   89.870875ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   90.964605ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   91.975966ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   93.001301ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   93.877516ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    94.64139ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   95.460556ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   96.276121ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   97.206639ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   98.200886ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   99.121859ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  100.042103ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  101.095753ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  102.138088ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  103.002488ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  104.160812ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    105.1135ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  106.156102ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  107.096739ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   108.11509ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  109.390305ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  110.551422ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  111.719239ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  112.829979ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  113.877708ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  114.955388ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  116.020958ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  117.384866ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  118.439745ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  119.668686ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  120.830115ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  121.896089ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  122.883216ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  123.812411ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  124.765872ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   125.70509ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  126.695637ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  127.780647ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  129.233618ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  130.556902ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   131.47836ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  132.398092ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  133.443671ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  134.540308ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  135.546852ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  136.516007ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |    137.5547ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  138.972897ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  140.254895ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  141.397849ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |  142.454588ms |       127.0.0.1 | GET      /
[GIN] 2018/04/13 - 11:48:58 | 404 |   143.89641ms |       127.0.0.1 | GET      /
